AAN	Aaron's, Inc.
AAOI	Applied Optoelectronics, Inc.
AAON	AAON, Inc.
AAT	American Assets Trust, Inc.
AAWW	Atlas Air Worldwide Holdings, Inc.
AAXN	Axon Enterprise, Inc.
ABCB	Ameris Bancorp
ABEO	Abeona Therapeutics, Inc.
ABG	Asbury Automotive Group, Inc.
ABM	ABM Industries, Inc.
ABTX	Allegiance Bancshares, Inc. (Texas)
AC	Associated Capital Group, Inc.
ACA	Arcosa, Inc.
ACAD	ACADIA Pharmaceuticals, Inc.
ACBI	Atlantic Capital Bancshares, Inc.
ACCO	ACCO Brands Corp.
ACER	Acer Therapeutics, Inc.
ACHN	Achillion Pharmaceuticals, Inc.
ACIA	Acacia Communications, Inc.
ACIW	ACI Worldwide, Inc.
ACLS	Axcelis Technologies, Inc.
ACNB	ACNB Corp.
ACOR	Acorda Therapeutics, Inc.
ACRE	Ares Commercial Real Estate Corp.
ACRS	Aclaris Therapeutics, Inc.
ACRX	AcelRx Pharmaceuticals, Inc.
ACTG	Acacia Research Corp.
ADC	Agree Realty Corp.
ADES	Advanced Emissions Solutions, Inc.
ADMA	ADMA Biologics, Inc.
ADMS	Adamas Pharmaceuticals, Inc.
ADNT	Adient plc
ADRO	Aduro BioTech, Inc.
ADSW	Advanced Disposal Services, Inc.
ADTN	ADTRAN, Inc.
ADUS	Addus HomeCare Corp.
ADVM	Adverum Biotechnologies, Inc.
AEGN	Aegion Corp.
AEIS	Advanced Energy Industries, Inc.
AEL	American Equity Investment Life Holding Co.
AEO	American Eagle Outfitters, Inc.
AERI	Aerie Pharmaceuticals, Inc.
AFI	Armstrong Flooring, Inc.
AFIN	American Finance Trust, Inc.
AFMD	Affimed NV
AGE	AgeX Therapeutics, Inc.
AGEN	Agenus, Inc.
AGLE	Aeglea Biotherapeutics, Inc.
AGM	Federal Agricultural Mortgage Corp.
AGS	PlayAGS, Inc.
AGX	Argan, Inc.
AGYS	Agilysys, Inc.
AHH	Armada Hoffler Properties, Inc.
AHT	Ashford Hospitality Trust, Inc.
AI	Arlington Asset Investment Corp.
AIMC	Altra Industrial Motion Corp.
AIMT	Aimmune Therapeutics, Inc.
AIN	Albany International Corp.
AIR	AAR Corp.
AIRG	Airgain, Inc.
AIT	Applied Industrial Technologies, Inc.
AJRD	Aerojet Rocketdyne Holdings, Inc.
AJX	Great Ajax Corp.
AKBA	Akebia Therapeutics, Inc.
AKCA	Akcea Therapeutics, Inc.
AKR	Acadia Realty Trust
AKRO	Akero Therapeutics, Inc.
AKRX	Akorn, Inc.
AKS	AK Steel Holding Corp.
AKTS	Akoustis Technologies, Inc.
ALBO	Albireo Pharma, Inc.
ALCO	Alico, Inc.
ALDR	Alder Biopharmaceuticals, Inc.
ALDX	Aldeyra Therapeutics, Inc.
ALE	ALLETE, Inc.
ALEC	Alector, Inc.
ALEX	Alexander & Baldwin, Inc.
ALG	Alamo Group, Inc.
ALGT	Allegiant Travel Co.
ALLK	Allakos, Inc.
ALLO	Allogene Therapeutics, Inc.
ALOT	AstroNova, Inc.
ALRM	Alarm.com Holdings, Inc.
ALTM	Altus Midstream Co.
ALTR	Altair Engineering, Inc.
ALX	Alexander's, Inc.
AMAG	AMAG Pharmaceuticals, Inc.
AMAL	Amalgamated Bank
AMBA	Ambarella, Inc.
AMBC	Ambac Financial Group, Inc.
AMC	AMC Entertainment Holdings, Inc.
AMED	Amedisys, Inc.
AMEH	Apollo Medical Holdings, Inc.
AMK	AssetMark Financial Holdings, Inc.
AMKR	Amkor Technology, Inc.
AMN	AMN Healthcare Services, Inc.
AMNB	American National Bankshares, Inc. (Virginia)
AMOT	Allied Motion Technologies, Inc.
AMPH	Amphastar Pharmaceuticals, Inc.
AMRC	Ameresco, Inc.
AMRS	Amyris, Inc.
AMRX	Amneal Pharmaceuticals, Inc.
AMSC	American Superconductor Corp.
AMSF	AMERISAFE, Inc.
AMSWA	American Software, Inc.
AMTB	Amerant Bancorp, Inc.
AMWD	American Woodmark Corp.
ANAB	AnaptysBio, Inc.
ANDE	The Andersons, Inc.
ANF	Abercrombie & Fitch Co.
ANGO	AngioDynamics, Inc.
ANH	Anworth Mortgage Asset Corp.
ANIK	Anika Therapeutics, Inc.
ANIP	ANI Pharmaceuticals, Inc.
AOBC	American Outdoor Brands Corp.
AOSL	Alpha & Omega Semiconductor Ltd.
APAM	Artisan Partners Asset Management, Inc.
APEI	American Public Education, Inc.
APLS	Apellis Pharmaceuticals, Inc.
APOG	Apogee Enterprises, Inc.
APPF	AppFolio, Inc.
APPN	Appian Corp.
APPS	Digital Turbine, Inc.
APTS	Preferred Apartment Communities, Inc.
APYX	Apyx Medical Corp.
AQUA	Evoqua Water Technologies Corp.
ARA	American Renal Associates Holdings, Inc.
ARAY	Accuray, Inc.
ARCB	ArcBest Corp.
ARCH	Arch Coal, Inc.
ARDX	Ardelyx, Inc.
ARES	Ares Management Corp.
ARGO	Argo Group International Holdings Ltd.
ARI	Apollo Commercial Real Estate Finance, Inc.
ARL	American Realty Investors, Inc.
ARLO	Arlo Technologies, Inc.
ARNA	Arena Pharmaceuticals, Inc.
AROC	Archrock, Inc.
AROW	Arrow Financial Corp.
ARQL	ArQule, Inc.
ARR	ARMOUR Residential REIT, Inc.
ARTNA	Artesian Resources Corp.
ARVN	Arvinas, Inc.
ARWR	Arrowhead Pharmaceuticals, Inc.
ASC	Ardmore Shipping Corp.
ASGN	ASGN, Inc.
ASIX	Advansix, Inc.
ASMB	Assembly Biosciences, Inc.
ASNA	Ascena Retail Group, Inc.
ASPS	Altisource Portfolio Solutions SA
ASRT	Assertio Therapeutics, Inc.
ASTE	Astec Industries, Inc.
AT	Atlantic Power Corp.
ATEC	Alphatec Holdings, Inc.
ATEN	A10 Networks, Inc.
ATEX	Anterix, Inc.
ATGE	Adtalem Global Education, Inc.
ATHX	Athersys, Inc.
ATI	Allegheny Technologies, Inc.
ATKR	Atkore International Group, Inc.
ATLO	Ames National Corp.
ATNI	ATN International, Inc.
ATNX	Athenex, Inc.
ATRA	Atara Biotherapeutics, Inc.
ATRC	AtriCure, Inc.
ATRI	Atrion Corp.
ATRO	Astronics Corp.
ATRS	Antares Pharma, Inc.
ATSG	Air Transport Services Group, Inc.
AUB	Atlantic Union Bankshares Corp.
AVA	Avista Corp.
AVAV	AeroVironment, Inc.
AVCO	Avalon GloboCare Corp.
AVD	American Vanguard Corp.
AVDR	Avedro, Inc.
AVID	Avid Technology, Inc.
AVNS	Avanos Medical, Inc.
AVRO	Avrobio, Inc.
AVX	AVX Corp.
AVXL	Anavex Life Sciences Corp.
AVYA	Avaya Holdings Corp.
AWR	American States Water Co.
AX	Axos Financial, Inc.
AXAS	Abraxas Petroleum Corp.
AXDX	Accelerate Diagnostics, Inc.
AXE	Anixter International, Inc.
AXGN	AxoGen, Inc.
AXL	American Axle & Manufacturing Holdings, Inc.
AXLA	Axcella Health, Inc.
AXNX	Axonics Modulation Technologies, Inc.
AXSM	Axsome Therapeutics, Inc.
AXTI	AXT, Inc.
AYR	Aircastle Ltd.
AZZ	AZZ, Inc.
B	Barnes Group, Inc.
BANC	Banc of California, Inc.
BAND	Bandwidth, Inc.
BANF	BancFirst Corp. (Oklahoma)
BANR	Banner Corp.
BATRA	Liberty Media Corp. Liberty Braves
BATRK	Liberty Media Corp. Liberty Braves
BBBY	Bed Bath & Beyond, Inc.
BBCP	Concrete Pumping Holdings, Inc.
BBIO	BridgeBio Pharma, Inc.
BBSI	Barrett Business Services, Inc.
BBX	BBX Capital Corp.
BCBP	BCB Bancorp, Inc.
BCC	Boise Cascade Co.
BCEI	Bonanza Creek Energy, Inc.
BCEL	Atreca, Inc.
BCML	BayCom Corp.
BCO	The Brink's Co.
BCOR	Blucora, Inc.
BCOV	Brightcove, Inc.
BCPC	Balchem Corp.
BCRX	BioCryst Pharmaceuticals, Inc.
BDC	Belden, Inc.
BDGE	Bridge Bancorp, Inc.
BDSI	BioDelivery Sciences International, Inc.
BE	Bloom Energy Corp.
BEAT	BioTelemetry, Inc.
BECN	Beacon Roofing Supply, Inc.
BELFB	Bel Fuse, Inc.
BFC	Bank First Corp.
BFIN	BankFinancial Corp.
BFS	Saul Centers, Inc.
BFST	Business First Bancshares, Inc.
BGG	Briggs & Stratton Corp.
BGS	B&G Foods, Inc.
BGSF	BG Staffing, Inc.
BH	Biglari Holdings, Inc.
BHB	Bar Harbor Bankshares
BHE	Benchmark Electronics, Inc.
BHLB	Berkshire Hills Bancorp, Inc.
BHR	Braemar Hotels & Resorts, Inc.
BHVN	Biohaven Pharmaceutical Holding Co. Ltd.
BIG	Big Lots, Inc.
BIOS	Option Care Health, Inc.
BJ	BJ's Wholesale Club Holdings, Inc.
BJRI	BJ's Restaurants, Inc.
BKD	Brookdale Senior Living, Inc.
BKE	The Buckle, Inc.
BKH	Black Hills Corp.
BL	BlackLine, Inc.
BLBD	Blue Bird Corp.
BLD	TopBuild Corp.
BLDR	Builders FirstSource, Inc.
BLFS	BioLife Solutions, Inc.
BLKB	Blackbaud, Inc.
BLMN	Bloomin' Brands, Inc.
BLX	Banco Latinoamericano de Comercio Exterior SA
BMCH	BMC Stock Holdings, Inc.
BMI	Badger Meter, Inc.
BMRC	Bank of Marin Bancorp
BMTC	Bryn Mawr Bank Corp.
BNED	Barnes & Noble Education, Inc.
BNFT	Benefitfocus, Inc.
BOCH	Bank of Commerce Holdings
BOLD	Audentes Therapeutics, Inc.
BOMN	Boston Omaha Corp.
BOOM	DMC Global, Inc.
BOOT	Boot Barn Holdings, Inc.
BOX	Box, Inc.
BPFH	Boston Private Financial Holdings, Inc.
BPMC	Blueprint Medicines Corp.
