Ticker;Name;Market Cap;Sector;Industry
AAN;Aaron's, Inc.;1,615,052,032.00;Industrials;Rental & Leasing Services
AAOI;Applied Optoelectronics, Inc.;171,056,480.00;Technology;Semiconductors
AAON;AAON, Inc.;2,496,905,728.00;Industrials;Building Products & Equipment
AAT;American Assets Trust, Inc.;1,569,581,952.00;Real Estate;REIT—Diversified
AAWW;Atlas Air Worldwide Holdings, Inc.;724,705,472.00;Industrials;Airports & Air Services
AAXN;Axon Enterprise, Inc.;4,232,569,344.00;Industrials;Aerospace & Defense
ABCB;Ameris Bancorp;1,509,462,144.00;Financial Services;Banks—Regional
ABEO;Abeona Therapeutics, Inc.;200,693,040.00;Healthcare;Biotechnology
ABG;Asbury Automotive Group, Inc.;1,050,683,712.00;Consumer Cyclical;Auto & Truck Dealerships
ABM;ABM Industries, Inc.;2,075,549,440.00;Industrials;Specialty Business Services
ABTX;Allegiance Bancshares, Inc. (Texas);456,951,808.00;Financial Services;Banks—Regional
AC;Associated Capital Group, Inc.;806,554,816.00;Financial Services;Capital Markets
ACA;Arcosa, Inc.;1,850,055,040.00;Industrials;Infrastructure Operations
ACAD;ACADIA Pharmaceuticals, Inc.;7,633,407,488.00;Healthcare;Biotechnology
ACBI;Atlantic Capital Bancshares, Inc.;239,768,128.00;Financial Services;Banks—Regional
ACCO;ACCO Brands Corp.;538,351,296.00;Industrials;Business Equipment & Supplies
ACER;Acer Therapeutics, Inc.;19,029,452.00;Healthcare;Biotechnology
ACHN;Achillion Pharmaceuticals, Inc.;947,021,952.00;;
ACIA;Acacia Communications, Inc.;2,849,384,448.00;Technology;Communication Equipment
ACIW;ACI Worldwide, Inc.;2,814,991,104.00;Technology;Software—Infrastructure
ACLS;Axcelis Technologies, Inc.;706,540,352.00;Technology;Semiconductor Equipment & Materials
ACNB;ACNB Corp.;210,071,920.00;Financial Services;Banks—Regional
ACOR;Acorda Therapeutics, Inc.;51,356,792.00;Healthcare;Biotechnology
ACRE;Ares Commercial Real Estate Corp.;227,045,200.00;Real Estate;REIT—Mortgage
ACRS;Aclaris Therapeutics, Inc.;43,189,952.00;Healthcare;Biotechnology
ACRX;AcelRx Pharmaceuticals, Inc.;114,190,432.00;Healthcare;Drug Manufacturers—Specialty & Generic
ACTG;Acacia Research Corp.;125,919,480.00;Industrials;Specialty Business Services
ADC;Agree Realty Corp.;3,266,771,456.00;Real Estate;REIT—Retail
ADES;Advanced Emissions Solutions, Inc.;120,684,440.00;Industrials;Pollution & Treatment Controls
ADMA;ADMA Biologics, Inc.;244,357,184.00;Healthcare;Biotechnology
ADMS;Adamas Pharmaceuticals, Inc.;92,162,112.00;Healthcare;Drug Manufacturers—Specialty & Generic
ADNT;Adient plc;1,140,527,744.00;Consumer Cyclical;Auto Parts
ADRO;Aduro BioTech, Inc.;236,627,088.00;Healthcare;Biotechnology
ADSW;Advanced Disposal Services, Inc.;2,891,293,440.00;Industrials;Waste Management
ADTN;ADTRAN, Inc.;446,218,592.00;Technology;Communication Equipment
ADUS;Addus HomeCare Corp.;1,212,380,672.00;Healthcare;Medical Care Facilities
ADVM;Adverum Biotechnologies, Inc.;996,016,192.00;Healthcare;Biotechnology
AEGN;Aegion Corp.;439,568,800.00;Industrials;Engineering & Construction
AEIS;Advanced Energy Industries, Inc.;1,879,491,712.00;Industrials;Electrical Equipment & Parts
AEL;American Equity Investment Life Holding Co.;1,624,081,152.00;Financial Services;Insurance—Life
AEO;American Eagle Outfitters, Inc.;1,156,844,928.00;Consumer Cyclical;Apparel Retail
AERI;Aerie Pharmaceuticals, Inc.;650,463,296.00;Healthcare;Drug Manufacturers—Specialty & Generic
AFI;Armstrong Flooring, Inc.;31,204,292.00;Industrials;Building Products & Equipment
AFIN;American Finance Trust, Inc.;701,833,216.00;Real Estate;REIT—Diversified
AFMD;Affimed NV;165,414,560.00;Healthcare;Biotechnology
AGE;AgeX Therapeutics, Inc.;32,761,068.00;Healthcare;Biotechnology
AGEN;Agenus, Inc.;449,220,192.00;Healthcare;Biotechnology
AGLE;Aeglea Biotherapeutics, Inc.;160,550,304.00;Healthcare;Biotechnology
AGM;Federal Agricultural Mortgage Corp.;604,799,680.00;Financial Services;Credit Services
AGS;PlayAGS, Inc.;98,813,984.00;Consumer Cyclical;Gambling
AGX;Argan, Inc.;560,869,632.00;Industrials;Engineering & Construction
AGYS;Agilysys, Inc.;412,339,776.00;Technology;Software—Application
AHH;Armada Hoffler Properties, Inc.;675,769,152.00;Real Estate;REIT—Diversified
AHT;Ashford Hospitality Trust, Inc.;65,894,036.00;Real Estate;REIT—Hotel & Motel
AI;Arlington Asset Investment Corp.;97,193,712.00;Real Estate;REIT—Mortgage
AIMC;Altra Industrial Motion Corp.;1,231,246,464.00;Industrials;Specialty Industrial Machinery
AIMT;Aimmune Therapeutics, Inc.;1,097,701,376.00;Healthcare;Biotechnology
AIN;Albany International Corp.;1,568,861,312.00;Consumer Cyclical;Textile Manufacturing
AIR;AAR Corp.;581,267,584.00;Industrials;Aerospace & Defense
AIRG;Airgain, Inc.;74,145,944.00;Technology;Communication Equipment
AIT;Applied Industrial Technologies, Inc.;1,807,837,824.00;Industrials;Industrial Distribution
